"","DAuid","PostCode","CTname","HRNAME"
"51",59151972,"V3W8H4",185.16,"Fraser South                                                "
"52",59151973,"V3W2Y8",185.16,"Fraser South                                                "
"53",59151975,"V3W2Z1",184.02,"Fraser South                                                "
"54",59151981,"V3W0J4",184.05,"Fraser South                                                "
"55",59151981,"V3W0W2",184.05,"Fraser South                                                "
"56",59151986,"V3W0N7",184.05,"Fraser South                                                "
"57",59151988,"V3W0W4",184.05,"Fraser South                                                "
"58",59151992,"V3R6Z9",187.03,"Fraser South                                                "
"59",59151994,"V3R7Y6",187.03,"Fraser South                                                "
"60",59151995,"V3V7X9",187.05,"Fraser South                                                "
"61",59151996,"V3V7T3",187.05,"Fraser South                                                "
"62",59152003,"V3R7A4",187.03,"Fraser South                                                "
"63",59152004,"V3R1E7",187.03,"Fraser South                                                "
"64",59152005,"V3R1E6",187.03,"Fraser South                                                "
"65",59152008,"V3R0P9",189.05,"Fraser South                                                "
"66",59152016,"V3S4Y6",187.09,"Fraser South                                                "
"67",59152021,"V4N2Z1",187.06,"Fraser South                                                "
"68",59152023,"V4N3H3",187.07,"Fraser South                                                "
"69",59152027,"V3S8T5",187.08,"Fraser South                                                "
"70",59152031,"V3S2N5",187.08,"Fraser South                                                "
"71",59152034,"V3S7X7",182.03,"Fraser South                                                "
"72",59152035,"V3S0N3",184.1,"Fraser South                                                "
"73",59152038,"V3S3G3",184.1,"Fraser South                                                "
"74",59152039,"V3S5M4",184.11,"Fraser South                                                "
"75",59152054,"V3W6X6",184.08,"Fraser South                                                "
"76",59152054,"V3W9C4",184.08,"Fraser South                                                "
"77",59152060,"V3X1J7",185.07,"Fraser South                                                "
"78",59152061,"V3X1M1",185.07,"Fraser South                                                "
"79",59152062,"V3X2H8",185.07,"Fraser South                                                "
"80",59152064,"V3W4B9",185.07,"Fraser South                                                "
"81",59152064,"V3W1K5",185.07,"Fraser South                                                "
"82",59152067,"V3X3J5",185.07,"Fraser South                                                "
"83",59152071,"V3W4J3",185.12,"Fraser South                                                "
"84",59152078,"V3W0T9",185.14,"Fraser South                                                "
"85",59152083,"V4E2A9",162.01,"Fraser South                                                "
"86",59152083,"V4E1Z9",162.01,"Fraser South                                                "
"87",59152083,"V4E1Z9",162.01,"Fraser South                                                "
"88",59152083,"V4E3G5",162.01,"Fraser South                                                "
"89",59152085,"V4E2T3",162.01,"Fraser South                                                "
"90",59152089,"V4C5P9",162.03,"Fraser South                                                "
"91",59152098,"V3W4E4",185.1,"Fraser South                                                "
"92",59152099,"V3W0R5",185.1,"Fraser South                                                "
"93",59152101,"V3W8P2",185.1,"Fraser South                                                "
"94",59152103,"V3W3X7",185.11,"Fraser South                                                "
"95",59152103,"V3W3W2",185.11,"Fraser South                                                "
"96",59152105,"V3W3E3",185.09,"Fraser South                                                "
"97",59152111,"V4C2E4",163.06,"Fraser South                                                "
"98",59152111,"V4C2E4",163.06,"Fraser South                                                "
"99",59152114,"V4C5N3",162.03,"Fraser South                                                "
"100",59152117,"V4C1L2",162.03,"Fraser South                                                "
"101",59152119,"V3W3N2",185.11,"Fraser South                                                "
"102",59152122,"V4C5Y2",162.03,"Fraser South                                                "
"103",59152122,"V4C5M8",162.03,"Fraser South                                                "
"104",59152124,"V4C4Y2",162.02,"Fraser South                                                "
"105",59152125,"V4C1C5",162.02,"Fraser South                                                "
"106",59152130,"V4C1N2",162.02,"Fraser South                                                "
"107",59152134,"V4C2J5",163.01,"Fraser South                                                "
"108",59152137,"V4C8B5",163.04,"Fraser South                                                "
"109",59152138,"V4C7X5",163.04,"Fraser South                                                "
"110",59152141,"V4C3B4",163.04,"Fraser South                                                "
"111",59152142,"V4C4K7",163.04,"Fraser South                                                "
"112",59152143,"V4C2Z8",163.05,"Fraser South                                                "
"113",59152145,"V4C3E4",163.07,"Fraser South                                                "
"114",59152151,"V4C5S6",163.08,"Fraser South                                                "
"115",59152160,"V4C3H5",163.07,"Fraser South                                                "
"116",59152163,"V4C2X6",163.05,"Fraser South                                                "
"117",59152172,"V3W3H5",185.09,"Fraser South                                                "
"118",59152175,"V3V7K8",186.05,"Fraser South                                                "
"119",59152177,"V3V6B9",186.05,"Fraser South                                                "
"120",59152178,"V3V2C9",186.01,"Fraser South                                                "
"121",59152179,"V3V4N7",186.01,"Fraser South                                                "
"122",59152181,"V3V2C6",186.01,"Fraser South                                                "
"123",59152186,"V3V2V3",186.01,"Fraser South                                                "
"124",59152186,"V3V1V8",186.01,"Fraser South                                                "
"125",59152186,"V3V2S4",186.01,"Fraser South                                                "
"126",59152188,"V3X3N5",192,"Fraser South                                                "
"127",59152190,"V3V3A2",186.01,"Fraser South                                                "
"128",59152191,"V3V2N8",186.02,"Fraser South                                                "
"129",59152193,"V3T2Z1",186.02,"Fraser South                                                "
"130",59152200,"V3T1R4",191.03,"Fraser South                                                "
"131",59152200,"V3T1S5",191.03,"Fraser South                                                "
"132",59152200,"V3T3V2",191.03,"Fraser South                                                "
"133",59152202,"V3T3Y5",191.04,"Fraser South                                                "
"134",59152203,"V3T5J7",191.04,"Fraser South                                                "
"135",59152204,"V3T1N9",190.01,"Fraser South                                                "
"136",59152205,"V3T5H6",191.04,"Fraser South                                                "
"137",59152213,"V3V5N9",186.08,"Fraser South                                                "
"138",59152216,"V3V6C3",186.08,"Fraser South                                                "
"139",59152218,"V3V7Z3",186.05,"Fraser South                                                "
"140",59152220,"V3V6N4",186.05,"Fraser South                                                "
"141",59152222,"V3V7J5",186.05,"Fraser South                                                "
"142",59152228,"V3T2Y1",191.03,"Fraser South                                                "
"143",59152229,"V3T3R3",191.03,"Fraser South                                                "
"144",59152234,"V3V6G1",186.06,"Fraser South                                                "
"145",59152239,"V3W0L1",185.15,"Fraser South                                                "
"146",59152243,"V3W2N1",185.16,"Fraser South                                                "
"147",59152243,"V3W4J8",185.16,"Fraser South                                                "
"148",59152243,"V3W6Z3",185.16,"Fraser South                                                "
"149",59152248,"V3W4T3",185.05,"Fraser South                                                "
"150",59152249,"V3W4W6",185.05,"Fraser South                                                "
"151",59152250,"V3W8A2",185.05,"Fraser South                                                "
"152",59152251,"V3W2G9",184.07,"Fraser South                                                "
"153",59152251,"V3W2G9",184.07,"Fraser South                                                "
"154",59152253,"V3W5J6",184.02,"Fraser South                                                "
"155",59152257,"V4C2N1",163.04,"Fraser South                                                "
"156",59152260,"V4C6T2",163.01,"Fraser South                                                "
"157",59152262,"V4E2W5",162.01,"Fraser South                                                "
"158",59152263,"V4E2N5",162.01,"Fraser South                                                "
"159",59152268,"V4E1L2",162.04,"Fraser South                                                "
"160",59152268,"V4E1K6",162.04,"Fraser South                                                "
"161",59152270,"V4E3E7",162.04,"Fraser South                                                "
"162",59152282,"V3X2B6",185.06,"Fraser South                                                "
"163",59152288,"V3W0V1",185.06,"Fraser South                                                "
"164",59152293,"V3W1P3",184.01,"Fraser South                                                "
"165",59152293,"V3X3J1",184.01,"Fraser South                                                "
"166",59152293,"V3X3S2",184.01,"Fraser South                                                "
"167",59152294,"V3X3A6",184.01,"Fraser South                                                "
"168",59152295,"V3X3J7",184.01,"Fraser South                                                "
"169",59152296,"V3X2N2",184.01,"Fraser South                                                "
"170",59152296,"V3X3L6",184.01,"Fraser South                                                "
"171",59152297,"V3S8Z5",184.01,"Fraser South                                                "
"172",59152298,"V3S3C4",184.01,"Fraser South                                                "
"173",59152300,"V3X3R1",182.03,"Fraser South                                                "
"174",59152301,"V3S8E7",182.02,"Fraser South                                                "
"175",59152301,"V3S9L6",182.02,"Fraser South                                                "
"176",59152301,"V3S3Y2",182.02,"Fraser South                                                "
"177",59152303,"V3S8P1",183.01,"Fraser South                                                "
"178",59152308,"V3S4R9",183.01,"Fraser South                                                "
"179",59152317,"V3S4J6",183.03,"Fraser South                                                "
"180",59152319,"V3S4J4",183.03,"Fraser South                                                "
"181",59152322,"V3S8C4",182.01,"Fraser South                                                "
"182",59152323,"V3S0L5",182.01,"Fraser South                                                "
"183",59152325,"V3S6E5",183.03,"Fraser South                                                "
"184",59152327,"V3S5S7",183.07,"Fraser South                                                "
"185",59152332,"V3S8G7",183.07,"Fraser South                                                "
"186",59152334,"V3S7L6",183.06,"Fraser South                                                "
"187",59152335,"V3S7L1",183.06,"Fraser South                                                "
"188",59152338,"V3S7Z8",183.07,"Fraser South                                                "
"189",59152341,"V3A3X6",503.04,"Fraser South                                                "
"190",59152341,"V3A3X6",503.04,"Fraser South                                                "
"191",59152343,"V3A7A6",503.04,"Fraser South                                                "
"192",59152349,"V3A3V1",503.05,"Fraser South                                                "
"193",59152350,"V3A1Z1",503.05,"Fraser South                                                "
"194",59152357,"V3A3J8",503.03,"Fraser South                                                "
"195",59152359,"V3A5J2",503.03,"Fraser South                                                "
"196",59152361,"V3A3A6",502.03,"Fraser South                                                "
"197",59152361,"V3A3B5",502.03,"Fraser South                                                "
"198",59152366,"V3A2X7",502.03,"Fraser South                                                "
"199",59152372,"V3A8N1",502.04,"Fraser South                                                "
"200",59152372,"V3A2N7",502.04,"Fraser South                                                "
"201",59152377,"V3A4R1",501.01,"Fraser South                                                "
"202",59152381,"V3A8H5",502.04,"Fraser South                                                "
"203",59152385,"V3A2E9",503.05,"Fraser South                                                "
"204",59152391,"V3A6R5",503.05,"Fraser South                                                "
"205",59152394,"V3A3X7",503.04,"Fraser South                                                "
"206",59152396,"V2Y1G8",504.01,"Fraser South                                                "
"207",59152405,"V2Y2B5",504.01,"Fraser South                                                "
"208",59152408,"V1M2G4",504.04,"Fraser South                                                "
"209",59152408,"V1M2K7",504.04,"Fraser South                                                "
"210",59152411,"V1M1X9",504.03,"Fraser South                                                "
"211",59152421,"V1M1V5",504.03,"Fraser South                                                "
"212",59152425,"V1M2W8",504.02,"Fraser South                                                "
"213",59152425,"V1M2X2",504.02,"Fraser South                                                "
"214",59152488,"V1M2S5",505,"Fraser South                                                "
"215",59152489,"V1M2S2",505,"Fraser South                                                "
"216",59152499,"V2Z2R1",501.02,"Fraser South                                                "
"217",59152503,"V2Z1K6",500,"Fraser South                                                "
"218",59152509,"V4W3N6",506.02,"Fraser South                                                "
"219",59152512,"V4W3E1",506.02,"Fraser South                                                "
"220",59152515,"V4W3T1",506.01,"Fraser South                                                "
"221",59152519,"V4W3V4",506.02,"Fraser South                                                "
"222",59152523,"V4W3N9",506.01,"Fraser South                                                "
"223",59152552,"V4W2G5",500,"Fraser South                                                "
"224",59152553,"V4W2M4",500,"Fraser South                                                "
"225",59152556,"V2Z2X6",500,"Fraser South                                                "
"226",59152557,"V2Z1R6",502.05,"Fraser South                                                "
"227",59152559,"V2Z1X5",502.02,"Fraser South                                                "
"228",59152560,"V2Z1Y8",502.02,"Fraser South                                                "
"229",59152564,"V2Z2C2",502.02,"Fraser South                                                "
"230",59152565,"V3A4P5",502.05,"Fraser South                                                "
"231",59152565,"V2Z2C4",502.05,"Fraser South                                                "
"232",59152571,"V3A2P9",502.02,"Fraser South                                                "
"233",59152576,"V4P2P9",180,"Fraser South                                                "
"234",59152580,"V4A9T8",181.06,"Fraser South                                                "
"235",59152580,"V4A1A6",181.06,"Fraser South                                                "
"236",59152581,"V4B4X2",170.06,"Fraser South                                                "
"237",59152582,"V4B4W7",170.06,"Fraser South                                                "
"238",59152582,"V4B4W6",170.06,"Fraser South                                                "
"239",59152586,"V4B2G5",170.06,"Fraser South                                                "
"240",59152593,"V4B5L4",170.03,"Fraser South                                                "
"241",59152594,"V4B3W8",170.03,"Fraser South                                                "
"242",59152594,"V4B3V5",170.03,"Fraser South                                                "
"243",59152602,"V4A7Y3",181.01,"Fraser South                                                "
"244",59152604,"V4B3C3",181.01,"Fraser South                                                "
"245",59152606,"V4B5E1",170.04,"Fraser South                                                "
"246",59152608,"V4B2Y8",170.04,"Fraser South                                                "
"247",59152609,"V4A6A4",181.08,"Fraser South                                                "
"248",59152611,"V4A6P9",181.09,"Fraser South                                                "
"249",59152620,"V4A1M5",181.08,"Fraser South                                                "
"250",59152624,"V4B2B3",170.03,"Fraser South                                                "
"251",59152624,"V4B5G6",170.03,"Fraser South                                                "
"252",59152642,"V4P1W3",181.03,"Fraser South                                                "
"253",59152645,"V4P1R3",181.04,"Fraser South                                                "
"254",59152653,"V4A2J6",181.04,"Fraser South                                                "
"255",59152661,"V4A7A6",181.01,"Fraser South                                                "
"256",59152662,"V4A1T8",181.05,"Fraser South                                                "
"257",59152664,"V4A4W1",181.05,"Fraser South                                                "
"258",59152665,"V4A4T7",181.05,"Fraser South                                                "
"259",59152666,"V4A5A3",181.05,"Fraser South                                                "
"260",59152666,"V3S0H6",181.05,"Fraser South                                                "
"261",59152671,"V4B4Y3",170.06,"Fraser South                                                "
"262",59152672,"V4A7T7",181.06,"Fraser South                                                "
"263",59152675,"V4A8E8",181.06,"Fraser South                                                "
"264",59152680,"V3S9X7",180,"Fraser South                                                "
"265",59152680,"V3S9N2",180,"Fraser South                                                "
"266",59152681,"V3S0B8",180,"Fraser South                                                "
"267",59152681,"V3S0B8",180,"Fraser South                                                "
"268",59152682,"V4N5C7",180,"Fraser South                                                "
"269",59152688,"V3S0H4",180,"Fraser South                                                "
"270",59152692,"V4A1W5",181.09,"Fraser South                                                "
"271",59152693,"V4A3E9",181.03,"Fraser South                                                "
"272",59152701,"V4K3J9",161.05,"Fraser South                                                "
"273",59152705,"V4K2H2",161.05,"Fraser South                                                "
"274",59152707,"V4K4J9",161.06,"Fraser South                                                "
"275",59152707,"V4K4C5",161.06,"Fraser South                                                "
"276",59152712,"V4K1T5",161.03,"Fraser South                                                "
"277",59152717,"V4K1E7",161.02,"Fraser South                                                "
"278",59152719,"V4K1H9",161.02,"Fraser South                                                "
"279",59152728,"V4M4G4",161.01,"Fraser South                                                "
"280",59152731,"V4M2L8",160.03,"Fraser South                                                "
"281",59152735,"V4M2Y8",160.03,"Fraser South                                                "
"282",59152736,"V4M1N5",160.03,"Fraser South                                                "
"283",59152736,"V4M1M8",160.03,"Fraser South                                                "
"284",59152738,"V4M2R2",160.01,"Fraser South                                                "
"285",59152741,"V4M2W9",160.01,"Fraser South                                                "
"286",59152743,"V4M3Y6",160.01,"Fraser South                                                "
"287",59152744,"V4M1E5",160.01,"Fraser South                                                "
"288",59152747,"V4L1Z5",160.01,"Fraser South                                                "
"289",59152753,"V4M4E7",160.04,"Fraser South                                                "
"290",59152758,"V4L2M2",160.02,"Fraser South                                                "
"291",59152758,"V4L2B1",160.02,"Fraser South                                                "
"292",59152765,"V4M1Z7",160.03,"Fraser South                                                "
"293",59152765,"V4M4E4",160.03,"Fraser South                                                "
"294",59152775,"V4K4S5",161.05,"Fraser South                                                "
"295",59152776,"V4K1Z3",161.05,"Fraser South                                                "
"296",59152778,"V3A5R4",502.01,"Fraser South                                                "
"297",59152782,"V3A3S6",503.01,"Fraser South                                                "
"298",59152784,"V3A7H8",503.03,"Fraser South                                                "
"299",59152784,"V3A5M8",503.03,"Fraser South                                                "
"300",59152788,"V4N3Z1",182.06,"Fraser South                                                "
"301",59152789,"V3A6Y3",504.01,"Fraser South                                                "
"302",59152789,"V2Y1S3",504.01,"Fraser South                                                "
"303",59152790,"V2Y1S4",504.01,"Fraser South                                                "
"304",59152794,"V3S9B9",183.05,"Fraser South                                                "
"305",59152794,"V3S9C1",183.05,"Fraser South                                                "
"306",59152803,"V3S7J1",182.04,"Fraser South                                                "
"307",59152807,"V3W5S5",184.11,"Fraser South                                                "
"308",59152808,"V3S2C8",184.06,"Fraser South                                                "
"309",59152808,"V3S2A6",184.06,"Fraser South                                                "
"310",59152811,"V3W2A9",185.13,"Fraser South                                                "
"311",59153033,"V4N5A8",188.05,"Fraser South                                                "
"312",59153035,"V4N4M9",188.03,"Fraser South                                                "
