CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Household type including census family structure (11),a,Notes: Household type including census family structure (11),Dim: Household income statistics (3): Member ID: [1]: Total - Household income statistics (Note: 3),Dim: Household income statistics (3): Member ID: [2]: Median total income of households ($),Dim: Household income statistics (3): Member ID: [3]: Median after-tax income of households ($)
2016,9330002.04,2,2.04,5,0,933000204,Non-census-family households,11,,445,44928,39253
2016,9330003.01,2,3.01,2.8,0,933000301,Total - Household type including census family structure,1,1,1080,73472,65902
2016,9330003.01,2,3.01,2.8,0,933000301,Census family households,2,,860,82112,73952
2016,9330003.01,2,3.01,2.8,0,933000301,One-census-family households without additional persons,3,,605,70315,63872
2016,9330003.01,2,3.01,2.8,0,933000301,One couple census family without other persons in the household,4,,505,73643,66816
2016,9330003.01,2,3.01,2.8,0,933000301,Without children,5,,145,57899,52267
2016,9330003.01,2,3.01,2.8,0,933000301,With children,6,,360,78720,70528
2016,9330003.01,2,3.01,2.8,0,933000301,One lone-parent census family without other persons in the household,7,,95,54784,49664
2016,9330003.01,2,3.01,2.8,0,933000301,With a male lone parent,8,,20,0,0
2016,9330003.01,2,3.01,2.8,0,933000301,With a female lone parent,9,,80,52864,47616
2016,9330003.01,2,3.01,2.8,0,933000301,Other census family households,10,2,265,119040,107136
2016,9330003.01,2,3.01,2.8,0,933000301,Non-census-family households,11,,215,34368,31552
2016,9330003.02,2,3.02,5.7,0,933000302,Total - Household type including census family structure,1,1,1315,67840,60843
2016,9330003.02,2,3.02,5.7,0,933000302,Census family households,2,,975,83520,74880
2016,9330003.02,2,3.02,5.7,0,933000302,One-census-family households without additional persons,3,,650,69717,63360
2016,9330003.02,2,3.02,5.7,0,933000302,One couple census family without other persons in the household,4,,535,74752,66432
2016,9330003.02,2,3.02,5.7,0,933000302,Without children,5,,150,55424,49024
2016,9330003.02,2,3.02,5.7,0,933000302,With children,6,,385,81152,72960
2016,9330003.02,2,3.02,5.7,0,933000302,One lone-parent census family without other persons in the household,7,,115,51264,47744
2016,9330003.02,2,3.02,5.7,0,933000302,With a male lone parent,8,,10,0,0
2016,9330003.02,2,3.02,5.7,0,933000302,With a female lone parent,9,,105,51392,48192
2016,9330003.02,2,3.02,5.7,0,933000302,Other census family households,10,2,320,117632,106112
2016,9330003.02,2,3.02,5.7,0,933000302,Non-census-family households,11,,345,31680,27776
2016,9330004.01,2,4.01,5,0,933000401,Total - Household type including census family structure,1,1,1930,59026,52173
2016,9330004.01,2,4.01,5,0,933000401,Census family households,2,,1175,86528,76288
2016,9330004.01,2,4.01,5,0,933000401,One-census-family households without additional persons,3,,970,77653,68506
2016,9330004.01,2,4.01,5,0,933000401,One couple census family without other persons in the household,4,,795,87381,76800
2016,9330004.01,2,4.01,5,0,933000401,Without children,5,,345,69888,61856
2016,9330004.01,2,4.01,5,0,933000401,With children,6,,450,99712,88704
2016,9330004.01,2,4.01,5,0,933000401,One lone-parent census family without other persons in the household,7,,170,48768,44800
2016,9330004.01,2,4.01,5,0,933000401,With a male lone parent,8,,25,56960,51328
2016,9330004.01,2,4.01,5,0,933000401,With a female lone parent,9,,140,48512,44672
2016,9330004.01,2,4.01,5,0,933000401,Other census family households,10,2,205,118528,103424
2016,9330004.01,2,4.01,5,0,933000401,Non-census-family households,11,,755,27264,25472
2016,9330004.02,2,4.02,4.9,0,933000402,Total - Household type including census family structure,1,1,1690,70067,63168
2016,9330004.02,2,4.02,4.9,0,933000402,Census family households,2,,1240,85803,76928
2016,9330004.02,2,4.02,4.9,0,933000402,One-census-family households without additional persons,3,,840,74069,66253
2016,9330004.02,2,4.02,4.9,0,933000402,One couple census family without other persons in the household,4,,700,77483,68864
2016,9330004.02,2,4.02,4.9,0,933000402,Without children,5,,200,51328,46208
2016,9330004.02,2,4.02,4.9,0,933000402,With children,6,,505,86080,77227
2016,9330004.02,2,4.02,4.9,0,933000402,One lone-parent census family without other persons in the household,7,,140,56192,51712
2016,9330004.02,2,4.02,4.9,0,933000402,With a male lone parent,8,,20,54912,50176
2016,9330004.02,2,4.02,4.9,0,933000402,With a female lone parent,9,,120,56192,51840
2016,9330004.02,2,4.02,4.9,0,933000402,Other census family households,10,2,400,116480,103509
2016,9330004.02,2,4.02,4.9,0,933000402,Non-census-family households,11,,450,32256,29440
2016,9330005,2,5,4.6,0,933000500,Total - Household type including census family structure,1,1,4325,44160,39319
2016,9330005,2,5,4.6,0,933000500,Census family households,2,,1605,61751,55570
2016,9330005,2,5,4.6,0,933000500,One-census-family households without additional persons,3,,1510,60608,53888
2016,9330005,2,5,4.6,0,933000500,One couple census family without other persons in the household,4,,1220,66368,58432
2016,9330005,2,5,4.6,0,933000500,Without children,5,,720,62720,55808
2016,9330005,2,5,4.6,0,933000500,With children,6,,505,70741,62848
2016,9330005,2,5,4.6,0,933000500,One lone-parent census family without other persons in the household,7,,285,40704,37760
2016,9330005,2,5,4.6,0,933000500,With a male lone parent,8,,40,43136,38016
2016,9330005,2,5,4.6,0,933000500,With a female lone parent,9,,250,40576,37568
2016,9330005,2,5,4.6,0,933000500,Other census family households,10,2,95,82688,76800
2016,9330005,2,5,4.6,0,933000500,Non-census-family households,11,,2725,36247,32416
2016,9330006.01,2,6.01,4.2,0,933000601,Total - Household type including census family structure,1,1,1685,67123,59995
2016,9330006.01,2,6.01,4.2,0,933000601,Census family households,2,,1215,87467,77540
2016,9330006.01,2,6.01,4.2,0,933000601,One-census-family households without additional persons,3,,995,84224,73435
2016,9330006.01,2,6.01,4.2,0,933000601,One couple census family without other persons in the household,4,,810,90624,80384
2016,9330006.01,2,6.01,4.2,0,933000601,Without children,5,,275,68864,60736
2016,9330006.01,2,6.01,4.2,0,933000601,With children,6,,530,102784,89408
2016,9330006.01,2,6.01,4.2,0,933000601,One lone-parent census family without other persons in the household,7,,190,57216,52864
2016,9330006.01,2,6.01,4.2,0,933000601,With a male lone parent,8,,15,0,0
2016,9330006.01,2,6.01,4.2,0,933000601,With a female lone parent,9,,175,56064,51200
2016,9330006.01,2,6.01,4.2,0,933000601,Other census family households,10,2,220,103936,94379
2016,9330006.01,2,6.01,4.2,0,933000601,Non-census-family households,11,,470,35968,32800
2016,9330006.02,2,6.02,4,0,933000602,Total - Household type including census family structure,1,1,1825,66125,58816
2016,9330006.02,2,6.02,4,0,933000602,Census family households,2,,1330,82592,73600
2016,9330006.02,2,6.02,4,0,933000602,One-census-family households without additional persons,3,,1090,78694,69333
2016,9330006.02,2,6.02,4,0,933000602,One couple census family without other persons in the household,4,,880,86955,76763
2016,9330006.02,2,6.02,4,0,933000602,Without children,5,,310,78080,68160
2016,9330006.02,2,6.02,4,0,933000602,With children,6,,575,93696,80811
2016,9330006.02,2,6.02,4,0,933000602,One lone-parent census family without other persons in the household,7,,205,51456,46080
2016,9330006.02,2,6.02,4,0,933000602,With a male lone parent,8,,30,48000,42112
2016,9330006.02,2,6.02,4,0,933000602,With a female lone parent,9,,180,51840,47424
2016,9330006.02,2,6.02,4,0,933000602,Other census family households,10,2,240,102400,92672
2016,9330006.02,2,6.02,4,0,933000602,Non-census-family households,11,,500,34304,31616
2016,9330007.01,2,7.01,3.4,0,933000701,Total - Household type including census family structure,1,1,2155,73280,64384
2016,9330007.01,2,7.01,3.4,0,933000701,Census family households,2,,1470,100288,86443
2016,9330007.01,2,7.01,3.4,0,933000701,One-census-family households without additional persons,3,,1280,96000,82347
2016,9330007.01,2,7.01,3.4,0,933000701,One couple census family without other persons in the household,4,,1085,106560,92096
2016,9330007.01,2,7.01,3.4,0,933000701,Without children,5,,430,96000,81280
2016,9330007.01,2,7.01,3.4,0,933000701,With children,6,,655,113869,98176
2016,9330007.01,2,7.01,3.4,0,933000701,One lone-parent census family without other persons in the household,7,,195,44544,43264
2016,9330007.01,2,7.01,3.4,0,933000701,With a male lone parent,8,,25,62848,56960
2016,9330007.01,2,7.01,3.4,0,933000701,With a female lone parent,9,,170,44416,42880
2016,9330007.01,2,7.01,3.4,0,933000701,Other census family households,10,2,190,150528,126976
2016,9330007.01,2,7.01,3.4,0,933000701,Non-census-family households,11,,685,33280,30720
2016,9330007.02,2,7.02,3.7,0,933000702,Total - Household type including census family structure,1,1,1155,99520,86784
2016,9330007.02,2,7.02,3.7,0,933000702,Census family households,2,,940,119808,101717
2016,9330007.02,2,7.02,3.7,0,933000702,One-census-family households without additional persons,3,,780,123648,104320
2016,9330007.02,2,7.02,3.7,0,933000702,One couple census family without other persons in the household,4,,665,143104,117504
2016,9330007.02,2,7.02,3.7,0,933000702,Without children,5,,255,128256,107776
2016,9330007.02,2,7.02,3.7,0,933000702,With children,6,,410,160768,132608
2016,9330007.02,2,7.02,3.7,0,933000702,One lone-parent census family without other persons in the household,7,,115,49408,43904
2016,9330007.02,2,7.02,3.7,0,933000702,With a male lone parent,8,,15,0,0
2016,9330007.02,2,7.02,3.7,0,933000702,With a female lone parent,9,,100,49408,43904
2016,9330007.02,2,7.02,3.7,0,933000702,Other census family households,10,2,160,111232,95104
2016,9330007.02,2,7.02,3.7,0,933000702,Non-census-family households,11,,215,53120,46528
2016,9330008.01,2,8.01,9.4,100,933000801,Total - Household type including census family structure,1,1,580,81408,69632
2016,9330008.01,2,8.01,9.4,100,933000801,Census family households,2,,435,90880,80640
2016,9330008.01,2,8.01,9.4,100,933000801,One-census-family households without additional persons,3,,350,88448,80256
2016,9330008.01,2,8.01,9.4,100,933000801,One couple census family without other persons in the household,4,,280,107418,93696
2016,9330008.01,2,8.01,9.4,100,933000801,Without children,5,,135,109696,95616
2016,9330008.01,2,8.01,9.4,100,933000801,With children,6,,150,102144,90709
2016,9330008.01,2,8.01,9.4,100,933000801,One lone-parent census family without other persons in the household,7,,70,44224,42624
2016,9330008.01,2,8.01,9.4,100,933000801,With a male lone parent,8,,20,0,0
2016,9330008.01,2,8.01,9.4,100,933000801,With a female lone parent,9,,50,43776,41472
2016,9330008.01,2,8.01,9.4,100,933000801,Other census family households,10,2,80,92075,83200
2016,9330008.01,2,8.01,9.4,100,933000801,Non-census-family households,11,,145,36608,32256
2016,9330008.02,2,8.02,3.7,0,933000802,Total - Household type including census family structure,1,1,1495,125184,101419
2016,9330008.02,2,8.02,3.7,0,933000802,Census family households,2,,1170,154112,125184
2016,9330008.02,2,8.02,3.7,0,933000802,One-census-family households without additional persons,3,,1050,158208,128768
2016,9330008.02,2,8.02,3.7,0,933000802,One couple census family without other persons in the household,4,,930,176201,141739
2016,9330008.02,2,8.02,3.7,0,933000802,Without children,5,,365,149675,121984
2016,9330008.02,2,8.02,3.7,0,933000802,With children,6,,560,198656,159744
2016,9330008.02,2,8.02,3.7,0,933000802,One lone-parent census family without other persons in the household,7,,120,54656,44672
2016,9330008.02,2,8.02,3.7,0,933000802,With a male lone parent,8,,20,0,0
2016,9330008.02,2,8.02,3.7,0,933000802,With a female lone parent,9,,100,48000,44160
2016,9330008.02,2,8.02,3.7,0,933000802,Other census family households,10,2,125,129792,106752
2016,9330008.02,2,8.02,3.7,0,933000802,Non-census-family households,11,,325,56960,49920
2016,9330009,2,9,3.7,0,933000900,Total - Household type including census family structure,1,1,3200,60544,52848
2016,9330009,2,9,3.7,0,933000900,Census family households,2,,1860,86272,74752
2016,9330009,2,9,3.7,0,933000900,One-census-family households without additional persons,3,,1680,82432,71973
2016,9330009,2,9,3.7,0,933000900,One couple census family without other persons in the household,4,,1315,100949,86357
2016,9330009,2,9,3.7,0,933000900,Without children,5,,635,99072,83968
2016,9330009,2,9,3.7,0,933000900,With children,6,,685,103552,89498
2016,9330009,2,9,3.7,0,933000900,One lone-parent census family without other persons in the household,7,,360,41600,37632
2016,9330009,2,9,3.7,0,933000900,With a male lone parent,8,,50,55168,45440
2016,9330009,2,9,3.7,0,933000900,With a female lone parent,9,,305,40320,36416
2016,9330009,2,9,3.7,0,933000900,Other census family households,10,2,185,126464,109568
2016,9330009,2,9,3.7,0,933000900,Non-census-family households,11,,1335,41024,36565
2016,9330010.01,2,10.01,3.4,0,933001001,Total - Household type including census family structure,1,1,2210,58197,51776
2016,9330010.01,2,10.01,3.4,0,933001001,Census family households,2,,1395,83584,72320
2016,9330010.01,2,10.01,3.4,0,933001001,One-census-family households without additional persons,3,,1220,80555,69939
2016,9330010.01,2,10.01,3.4,0,933001001,One couple census family without other persons in the household,4,,995,89280,77909
2016,9330010.01,2,10.01,3.4,0,933001001,Without children,5,,470,83200,71936
2016,9330010.01,2,10.01,3.4,0,933001001,With children,6,,525,97382,84275
2016,9330010.01,2,10.01,3.4,0,933001001,One lone-parent census family without other persons in the household,7,,225,46016,43392
2016,9330010.01,2,10.01,3.4,0,933001001,With a male lone parent,8,,25,120576,80128
2016,9330010.01,2,10.01,3.4,0,933001001,With a female lone parent,9,,200,43648,40704
2016,9330010.01,2,10.01,3.4,0,933001001,Other census family households,10,2,175,105728,94464
2016,9330010.01,2,10.01,3.4,0,933001001,Non-census-family households,11,,815,31595,29248
2016,9330010.02,2,10.02,4.3,0,933001002,Total - Household type including census family structure,1,1,1650,71467,62400
2016,9330010.02,2,10.02,4.3,0,933001002,Census family households,2,,1225,84907,73920
2016,9330010.02,2,10.02,4.3,0,933001002,One-census-family households without additional persons,3,,1015,78592,69047
2016,9330010.02,2,10.02,4.3,0,933001002,One couple census family without other persons in the household,4,,820,89152,77696
2016,9330010.02,2,10.02,4.3,0,933001002,Without children,5,,320,86656,72832
2016,9330010.02,2,10.02,4.3,0,933001002,With children,6,,500,91392,80555
2016,9330010.02,2,10.02,4.3,0,933001002,One lone-parent census family without other persons in the household,7,,190,34432,31680
2016,9330010.02,2,10.02,4.3,0,933001002,With a male lone parent,8,,25,49792,44672
2016,9330010.02,2,10.02,4.3,0,933001002,With a female lone parent,9,,165,33024,30336
2016,9330010.02,2,10.02,4.3,0,933001002,Other census family households,10,2,215,125056,107264
2016,9330010.02,2,10.02,4.3,0,933001002,Non-census-family households,11,,425,44851,38997
2016,9330011,2,11,3.2,0,933001100,Total - Household type including census family structure,1,1,2310,63334,56640
2016,9330011,2,11,3.2,0,933001100,Census family households,2,,1590,84224,75753
2016,9330011,2,11,3.2,0,933001100,One-census-family households without additional persons,3,,1190,73143,65676
2016,9330011,2,11,3.2,0,933001100,One couple census family without other persons in the household,4,,990,77632,69888
2016,9330011,2,11,3.2,0,933001100,Without children,5,,390,59904,54656
2016,9330011,2,11,3.2,0,933001100,With children,6,,600,90368,79309
2016,9330011,2,11,3.2,0,933001100,One lone-parent census family without other persons in the household,7,,200,52672,50304
2016,9330011,2,11,3.2,0,933001100,With a male lone parent,8,,35,73984,62592
2016,9330011,2,11,3.2,0,933001100,With a female lone parent,9,,165,51328,48384
2016,9330011,2,11,3.2,0,933001100,Other census family households,10,2,400,118699,107776
2016,9330011,2,11,3.2,0,933001100,Non-census-family households,11,,720,27413,25877
2016,9330012,2,12,3.5,0,933001200,Total - Household type including census family structure,1,1,2905,71851,63418
2016,9330012,2,12,3.5,0,933001200,Census family households,2,,1975,93568,82322
2016,9330012,2,12,3.5,0,933001200,One-census-family households without additional persons,3,,1580,84882,75925
2016,9330012,2,12,3.5,0,933001200,One couple census family without other persons in the household,4,,1355,92723,80435
2016,9330012,2,12,3.5,0,933001200,Without children,5,,520,69888,60885
2016,9330012,2,12,3.5,0,933001200,With children,6,,830,113306,96512
2016,9330012,2,12,3.5,0,933001200,One lone-parent census family without other persons in the household,7,,220,57856,52736
2016,9330012,2,12,3.5,0,933001200,With a male lone parent,8,,30,66432,59520
2016,9330012,2,12,3.5,0,933001200,With a female lone parent,9,,195,56896,50816
2016,9330012,2,12,3.5,0,933001200,Other census family households,10,2,395,122880,111104
2016,9330012,2,12,3.5,0,933001200,Non-census-family households,11,,930,38221,34907
2016,9330013.01,2,13.01,2.7,0,933001301,Total - Household type including census family structure,1,1,2155,65978,59040
2016,9330013.01,2,13.01,2.7,0,933001301,Census family households,2,,1560,81262,73472
2016,9330013.01,2,13.01,2.7,0,933001301,One-census-family households without additional persons,3,,1160,70258,62720
2016,9330013.01,2,13.01,2.7,0,933001301,One couple census family without other persons in the household,4,,930,77978,70688
2016,9330013.01,2,13.01,2.7,0,933001301,Without children,5,,310,53291,48000
2016,9330013.01,2,13.01,2.7,0,933001301,With children,6,,620,91904,81536
2016,9330013.01,2,13.01,2.7,0,933001301,One lone-parent census family without other persons in the household,7,,225,47488,43392
2016,9330013.01,2,13.01,2.7,0,933001301,With a male lone parent,8,,30,59264,53632
2016,9330013.01,2,13.01,2.7,0,933001301,With a female lone parent,9,,200,44032,41984
2016,9330013.01,2,13.01,2.7,0,933001301,Other census family households,10,2,400,114688,103765
2016,9330013.01,2,13.01,2.7,0,933001301,Non-census-family households,11,,600,31424,28821
2016,9330013.03,2,13.03,3.5,0,933001303,Total - Household type including census family structure,1,1,1560,63872,58551
2016,9330013.03,2,13.03,3.5,0,933001303,Census family households,2,,1170,80165,72064
2016,9330013.03,2,13.03,3.5,0,933001303,One-census-family households without additional persons,3,,830,63264,58325
2016,9330013.03,2,13.03,3.5,0,933001303,One couple census family without other persons in the household,4,,655,68901,61568
2016,9330013.03,2,13.03,3.5,0,933001303,Without children,5,,215,49600,45696
2016,9330013.03,2,13.03,3.5,0,933001303,With children,6,,440,81792,72576
2016,9330013.03,2,13.03,3.5,0,933001303,One lone-parent census family without other persons in the household,7,,175,46464,43136
2016,9330013.03,2,13.03,3.5,0,933001303,With a male lone parent,8,,20,0,0
2016,9330013.03,2,13.03,3.5,0,933001303,With a female lone parent,9,,155,46208,43008
2016,9330013.03,2,13.03,3.5,0,933001303,Other census family households,10,2,340,120192,108800
2016,9330013.03,2,13.03,3.5,0,933001303,Non-census-family households,11,,390,32768,29632
2016,9330013.04,2,13.04,3.4,0,933001304,Total - Household type including census family structure,1,1,1105,71782,64819
2016,9330013.04,2,13.04,3.4,0,933001304,Census family households,2,,870,82688,74368
2016,9330013.04,2,13.04,3.4,0,933001304,One-census-family households without additional persons,3,,625,72277,64947
2016,9330013.04,2,13.04,3.4,0,933001304,One couple census family without other persons in the household,4,,520,76800,69632
2016,9330013.04,2,13.04,3.4,0,933001304,Without children,5,,160,55424,49067
2016,9330013.04,2,13.04,3.4,0,933001304,With children,6,,355,89856,79616
2016,9330013.04,2,13.04,3.4,0,933001304,One lone-parent census family without other persons in the household,7,,115,58240,53568
2016,9330013.04,2,13.04,3.4,0,933001304,With a male lone parent,8,,20,0,0
2016,9330013.04,2,13.04,3.4,0,933001304,With a female lone parent,9,,95,55808,49664
2016,9330013.04,2,13.04,3.4,0,933001304,Other census family households,10,2,245,110848,103040
2016,9330013.04,2,13.04,3.4,0,933001304,Non-census-family households,11,,230,36096,32960
2016,9330014.01,2,14.01,3.6,0,933001401,Total - Household type including census family structure,1,1,1015,64128,58069
2016,9330014.01,2,14.01,3.6,0,933001401,Census family households,2,,790,73387,66048
2016,9330014.01,2,14.01,3.6,0,933001401,One-census-family households without additional persons,3,,580,64794,58496
2016,9330014.01,2,14.01,3.6,0,933001401,One couple census family without other persons in the household,4,,445,68608,61952
2016,9330014.01,2,14.01,3.6,0,933001401,Without children,5,,170,54784,51200
2016,9330014.01,2,14.01,3.6,0,933001401,With children,6,,275,85248,74752
2016,9330014.01,2,14.01,3.6,0,933001401,One lone-parent census family without other persons in the household,7,,130,51669,48512
2016,9330014.01,2,14.01,3.6,0,933001401,With a male lone parent,8,,20,57728,50048
2016,9330014.01,2,14.01,3.6,0,933001401,With a female lone parent,9,,105,51328,48000
2016,9330014.01,2,14.01,3.6,0,933001401,Other census family households,10,2,215,105045,95872
2016,9330014.01,2,14.01,3.6,0,933001401,Non-census-family households,11,,225,34432,31072
2016,9330014.02,2,14.02,2.9,0,933001402,Total - Household type including census family structure,1,1,2055,53029,48640
2016,9330014.02,2,14.02,2.9,0,933001402,Census family households,2,,1495,69069,62848
2016,9330014.02,2,14.02,2.9,0,933001402,One-census-family households without additional persons,3,,1115,56277,52139
2016,9330014.02,2,14.02,2.9,0,933001402,One couple census family without other persons in the household,4,,860,62293,57685
2016,9330014.02,2,14.02,2.9,0,933001402,Without children,5,,310,41344,38848
2016,9330014.02,2,14.02,2.9,0,933001402,With children,6,,545,77978,69888
2016,9330014.02,2,14.02,2.9,0,933001402,One lone-parent census family without other persons in the household,7,,250,41728,39808
2016,9330014.02,2,14.02,2.9,0,933001402,With a male lone parent,8,,30,41600,37504
2016,9330014.02,2,14.02,2.9,0,933001402,With a female lone parent,9,,220,41792,39872
2016,9330014.02,2,14.02,2.9,0,933001402,Other census family households,10,2,380,107605,97835
2016,9330014.02,2,14.02,2.9,0,933001402,Non-census-family households,11,,565,22160,21808
2016,9330015.01,2,15.01,2.8,0,933001501,Total - Household type including census family structure,1,1,1730,75849,68143
2016,9330015.01,2,15.01,2.8,0,933001501,Census family households,2,,1380,89920,79206
2016,9330015.01,2,15.01,2.8,0,933001501,One-census-family households without additional persons,3,,1060,82074,72789
2016,9330015.01,2,15.01,2.8,0,933001501,One couple census family without other persons in the household,4,,900,87424,77107
2016,9330015.01,2,15.01,2.8,0,933001501,Without children,5,,305,61824,56064
2016,9330015.01,2,15.01,2.8,0,933001501,With children,6,,595,104704,92032
2016,9330015.01,2,15.01,2.8,0,933001501,One lone-parent census family without other persons in the household,7,,160,57472,52032
2016,9330015.01,2,15.01,2.8,0,933001501,With a male lone parent,8,,35,82304,75008
2016,9330015.01,2,15.01,2.8,0,933001501,With a female lone parent,9,,120,47104,44672
2016,9330015.01,2,15.01,2.8,0,933001501,Other census family households,10,2,320,119296,105984
2016,9330015.01,2,15.01,2.8,0,933001501,Non-census-family households,11,,355,41376,36768
